 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.50625219e-07  4.56295623e-01  3.20501029e-09  4.56295623e-01  3.40983307e-09  3.31434917e-09  4.56295623e-01  4.56295623e-01  1.56091444e-07  1.50625219e-07  1.00000000e+00 
 1.52109486e-07  3.75374811e-09  4.56295614e-01  4.56295614e-01  3.40983307e-09  3.31434917e-09  4.56295614e-01  4.56295614e-01  1.56091435e-07  1.52109486e-07  1.00000000e+00 
 1.53601221e-07  4.56296360e-01  4.56296360e-01  4.56296360e-01  3.40983309e-09  3.31434920e-09  4.56296360e-01  4.56296360e-01  1.56092426e-07  1.53601221e-07  1.00000000e+00 
 1.54922418e-07  3.75374807e-09  3.20501025e-09  3.26677716e-09  4.56294907e-01  3.31434915e-09  4.56294907e-01  4.56294907e-01  1.56090483e-07  1.54922418e-07  1.00000000e+00 
 1.56399231e-07  4.56295638e-01  3.20501028e-09  3.26677718e-09  4.56295638e-01  3.31434917e-09  4.56295638e-01  4.56295638e-01  1.56091461e-07  1.56399231e-07  1.00000000e+00 
 1.57889140e-07  3.75374812e-09  4.56295619e-01  3.26677724e-09  4.56295619e-01  3.31434917e-09  4.56295619e-01  4.56295619e-01  1.56091435e-07  1.57889140e-07  1.00000000e+00 
 1.59399562e-07  4.56296383e-01  4.56296383e-01  3.26677721e-09  4.56296383e-01  3.31434921e-09  4.56296383e-01  4.56296383e-01  1.56092445e-07  1.59399562e-07  1.00000000e+00 
 1.60834389e-07  3.75374812e-09  3.20501024e-09  4.56295652e-01  4.56295652e-01  3.31434919e-09  4.56295653e-01  4.56295653e-01  1.56091488e-07  1.60834389e-07  1.00000000e+00 
 1.62327446e-07  4.56296385e-01  3.20501032e-09  4.56296385e-01  4.56296385e-01  3.31434921e-09  4.56296385e-01  4.56296385e-01  1.56092461e-07  1.62327446e-07  1.00000000e+00 
 1.63820445e-07  3.75374817e-09  4.56296371e-01  4.56296371e-01  4.56296371e-01  3.31434921e-09  4.56296371e-01  4.56296371e-01  1.56092439e-07  1.63820445e-07  1.00000000e+00 
 1.65324160e-07  4.56297119e-01  4.56297120e-01  4.56297119e-01  4.56297119e-01  3.31434925e-09  4.56297120e-01  4.56297120e-01  1.56093432e-07  1.65324160e-07  1.00000000e+00 
 1.67279815e-07  3.75374812e-09  3.20501026e-09  3.26677721e-09  3.40983303e-09  4.56294873e-01  4.56294873e-01  4.56294873e-01  1.56090443e-07  1.67279815e-07  1.00000000e+00 
 1.68732079e-07  4.56295614e-01  3.20501028e-09  3.26677723e-09  3.40983300e-09  4.56295614e-01  4.56295614e-01  4.56295614e-01  1.56091442e-07  1.68732079e-07  1.00000000e+00 
 1.70209873e-07  3.75374816e-09  4.56295651e-01  3.26677723e-09  3.40983305e-09  4.56295651e-01  4.56295651e-01  4.56295651e-01  1.56091485e-07  1.70209873e-07  1.00000000e+00 
 1.71705651e-07  4.56296380e-01  4.56296380e-01  3.26677727e-09  3.40983310e-09  4.56296380e-01  4.56296380e-01  4.56296380e-01  1.56092449e-07  1.71705651e-07  1.00000000e+00 
 1.73127439e-07  3.75374811e-09  3.20501023e-09  4.56295596e-01  3.40983300e-09  4.56295596e-01  4.56295596e-01  4.56295596e-01  1.56091406e-07  1.73127439e-07  1.00000000e+00 
 1.74614513e-07  4.56296353e-01  3.20501030e-09  4.56296353e-01  3.40983309e-09  4.56296353e-01  4.56296353e-01  4.56296353e-01  1.56092407e-07  1.74614513e-07  1.00000000e+00 
 1.76107150e-07  3.75374815e-09  4.56296344e-01  4.56296344e-01  3.40983308e-09  4.56296344e-01  4.56296344e-01  4.56296344e-01  1.56092408e-07  1.76107150e-07  1.00000000e+00 
 1.77606871e-07  4.56297116e-01  4.56297116e-01  4.56297116e-01  3.40983314e-09  4.56297116e-01  4.56297116e-01  4.56297116e-01  1.56093418e-07  1.77606871e-07  1.00000000e+00 
 1.78920004e-07  3.75374812e-09  3.20501029e-09  3.26677725e-09  4.56295618e-01  4.56295618e-01  4.56295618e-01  4.56295618e-01  1.56091432e-07  1.78920004e-07  1.00000000e+00 
 1.80389897e-07  4.56296380e-01  3.20501025e-09  3.26677726e-09  4.56296380e-01  4.56296380e-01  4.56296380e-01  4.56296380e-01  1.56092454e-07  1.80389897e-07  1.00000000e+00 
 1.81871854e-07  3.75374817e-09  4.56296363e-01  3.26677726e-09  4.56296363e-01  4.56296363e-01  4.56296363e-01  4.56296363e-01  1.56092435e-07  1.81871854e-07  1.00000000e+00 
 1.83369899e-07  4.56297104e-01  4.56297104e-01  3.26677730e-09  4.56297104e-01  4.56297104e-01  4.56297104e-01  4.56297104e-01  1.56093422e-07  1.83369899e-07  1.00000000e+00 
 1.84794573e-07  3.75374817e-09  3.20501031e-09  4.56296346e-01  4.56296346e-01  4.56296346e-01  4.56296346e-01  4.56296346e-01  1.56092395e-07  1.84794573e-07  1.00000000e+00 
 1.86279621e-07  4.56297106e-01  3.20501034e-09  4.56297105e-01  4.56297105e-01  4.56297106e-01  4.56297106e-01  4.56297106e-01  1.56093420e-07  1.86279621e-07  1.00000000e+00 
 1.87762524e-07  3.75374823e-09  4.56297077e-01  4.56297077e-01  4.56297077e-01  4.56297077e-01  4.56297077e-01  4.56297077e-01  1.56093379e-07  1.87762524e-07  1.00000000e+00 
 1.89253498e-07  4.56297828e-01  4.56297829e-01  4.56297828e-01  4.56297828e-01  4.56297829e-01  4.56297829e-01  4.56297829e-01  1.56094374e-07  1.89253498e-07  1.00000000e+00 
