 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.60388261e-07  3.32529140e-09  4.58162394e-01  3.64325034e-09  4.58162394e-01  3.40116143e-09  4.58162394e-01  4.58162394e-01  1.59372415e-07  1.60388261e-07  1.00000000e+00 
 1.62077150e-07  4.58163185e-01  4.58163185e-01  3.64325034e-09  4.58163185e-01  3.40116148e-09  4.58163185e-01  4.58163185e-01  1.59373484e-07  1.62077150e-07  1.00000000e+00 
 1.63718944e-07  3.32529140e-09  3.40856150e-09  4.58162427e-01  4.58162427e-01  3.40116149e-09  4.58162427e-01  4.58162427e-01  1.59372459e-07  1.63718944e-07  1.00000000e+00 
 1.65390418e-07  4.58163168e-01  3.40856151e-09  4.58163168e-01  4.58163168e-01  3.40116148e-09  4.58163168e-01  4.58163168e-01  1.59373466e-07  1.65390418e-07  1.00000000e+00 
 1.66931663e-07  3.32529150e-09  4.58163152e-01  4.58163152e-01  4.58163152e-01  3.40116142e-09  4.58163152e-01  4.58163152e-01  1.59373440e-07  1.66931663e-07  1.00000000e+00 
 1.68611521e-07  4.58163912e-01  4.58163912e-01  4.58163912e-01  4.58163912e-01  3.40116155e-09  4.58163912e-01  4.58163912e-01  1.59374456e-07  1.68611521e-07  1.00000000e+00 
 1.69591509e-07  3.32529132e-09  3.40856145e-09  3.64325031e-09  3.27871608e-09  4.58161630e-01  4.58161630e-01  4.58161630e-01  1.59371406e-07  1.69591509e-07  1.00000000e+00 
 1.71216577e-07  4.58162382e-01  3.40856150e-09  3.64325034e-09  3.27871617e-09  4.58162382e-01  4.58162382e-01  4.58162382e-01  1.59372400e-07  1.71216577e-07  1.00000000e+00 
 1.72743448e-07  3.32529134e-09  4.58162371e-01  3.64325028e-09  3.27871617e-09  4.58162371e-01  4.58162371e-01  4.58162371e-01  1.59372383e-07  1.72743448e-07  1.00000000e+00 
 1.74416243e-07  4.58163138e-01  4.58163138e-01  3.64325033e-09  3.27871628e-09  4.58163138e-01  4.58163138e-01  4.58163138e-01  1.59373423e-07  1.74416243e-07  1.00000000e+00 
