 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.56941518e-07  3.29172305e-09  4.48373322e-01  4.48373322e-01  4.48373322e-01  3.23997202e-09  3.26742598e-09  4.48373322e-01  1.56941518e-07  3.98751382e-07  1.00000000e+00 
 1.56942574e-07  4.48374159e-01  4.48374159e-01  4.48374159e-01  4.48374159e-01  3.23997193e-09  3.26742600e-09  4.48374159e-01  1.56942574e-07  4.04397667e-07  1.00000000e+00 
 1.56939670e-07  3.29172300e-09  3.25873385e-09  3.26643065e-09  3.31550633e-09  4.48371973e-01  3.26742604e-09  4.48371973e-01  1.56939670e-07  4.05718168e-07  1.00000000e+00 
 1.56940557e-07  4.48372608e-01  3.25873376e-09  3.26643067e-09  3.31550635e-09  4.48372608e-01  3.26742606e-09  4.48372608e-01  1.56940557e-07  4.11149642e-07  1.00000000e+00 
 1.56940429e-07  3.29172301e-09  4.48372583e-01  3.26643067e-09  3.31550635e-09  4.48372583e-01  3.26742606e-09  4.48372583e-01  1.56940429e-07  4.16228119e-07  1.00000000e+00 
 1.56941516e-07  4.48373363e-01  4.48373363e-01  3.26643069e-09  3.31550638e-09  4.48373363e-01  3.26742608e-09  4.48373363e-01  1.56941516e-07  4.21829611e-07  1.00000000e+00 
 1.56940659e-07  3.29172290e-09  3.25873387e-09  4.48372684e-01  3.31550636e-09  4.48372684e-01  3.26742606e-09  4.48372684e-01  1.56940659e-07  4.26797158e-07  1.00000000e+00 
 1.56941529e-07  4.48373372e-01  3.25873378e-09  4.48373371e-01  3.31550638e-09  4.48373371e-01  3.26742608e-09  4.48373371e-01  1.56941529e-07  4.32396973e-07  1.00000000e+00 
 1.56941482e-07  3.29172305e-09  4.48373345e-01  4.48373345e-01  3.31550639e-09  4.48373345e-01  3.26742609e-09  4.48373345e-01  1.56941482e-07  4.37536386e-07  1.00000000e+00 
 1.56942429e-07  4.48374046e-01  4.48374046e-01  4.48374046e-01  3.31550641e-09  4.48374046e-01  3.26742610e-09  4.48374046e-01  1.56942429e-07  4.43177157e-07  1.00000000e+00 
