 v-sweep         i(viout)        v(vout)        
 2.30000000e-01  6.24291999e-01  6.24291999e-01  6.24292000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323066e-07  8.98200128e-08  2.30000000e-01 
 2.40000000e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  3.29202939e-09  5.94323074e-07  8.96323091e-08  2.40000000e-01 
 2.50000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323065e-07  8.94451531e-08  2.50000000e-01 
 2.60000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323067e-07  8.92585519e-08  2.60000000e-01 
 2.70000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323070e-07  8.90725027e-08  2.70000000e-01 
 2.80000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323069e-07  8.88869831e-08  2.80000000e-01 
 2.90000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323071e-07  8.87019862e-08  2.90000000e-01 
 3.00000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323064e-07  8.85175147e-08  3.00000000e-01 
 3.10000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323066e-07  8.83335463e-08  3.10000000e-01 
 3.20000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323064e-07  8.81501094e-08  3.20000000e-01 
 3.30000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323067e-07  8.79671522e-08  3.30000000e-01 
 3.40000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323069e-07  8.77846973e-08  3.40000000e-01 
 3.50000000e-01  6.24291998e-01  6.24291998e-01  6.24291998e-01  6.24291998e-01  6.24291998e-01  6.24291998e-01  3.29202939e-09  5.94323056e-07  8.76027184e-08  3.50000000e-01 
 3.60000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202951e-09  5.94323062e-07  8.74212325e-08  3.60000000e-01 
 3.70000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323069e-07  8.72402168e-08  3.70000000e-01 
